stm	Identifer	TargetImage	DistImage	TagetLoc	DistLoc	Expected	AudioFile	Trial_Type	IAS	BLOCK	Condition	Syllables	TargetLocation_ListB_2	DistractorLocation_ListB2	List
16	16	12_B_Shower_Rhyme.jpg	12_A_Flower_Rhyme.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	shower_Rhyme.wav	Exp	16.ias	1	Rhyme	2	Left	Right	B2
17	17	1_B_Pants_Baseline.jpg	1_A_Bear_Baseline.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	pants_Baseline.wav	Exp	17.ias	1	Unrelated	1	Right	Left	B2
18	18	16_B_Candle_Rhyme.jpg	16_A_Sandal_Rhyme.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	candle_Rhyme.wav	Exp	18.ias	1	Rhyme	2	Right	Left	B2
19	19	3_B_Bug_Cohort.jpg	3_A_Bus_Cohort.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	bug_Cohort.wav	Exp	19.ias	1	Cohort	1	Left	Right	B2
20	20	17_B_Sneaker_Baseline.jpg	17_A_Pretzel_Baseline.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	sneaker_Baseline.wav	Exp	20.ias	1	Unrelated	2	Left	Right	B2
21	21	12_B_Camera_Cohort.jpg	12_A_Candy_Cohort.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	camera_Cohort.wav	Exp	21.ias	1	Cohort	2	Right	Left	B2
22	22	12_B_Muffin_Baseline.jpg	12_A_Doctor_Baseline.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	muffin_Baseline.wav	Exp	22.ias	1	Unrelated	2	Left	Right	B2
23	23	7_B_Moose_Cohort.jpg	7_A_Moon_Cohort.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	moose_Cohort.wav	Exp	23.ias	1	Cohort	1	Left	Right	B2
24	24	8_B_Boy_Rhyme.jpg	8_A_Toy_Rhyme.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	boy_Rhyme.wav	Exp	24.ias	1	Rhyme	1	Left	Right	B2
25	25	17_B_People_Cohort.jpg	17_A_Pizza_Cohort.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	people_Cohort.wav	Exp	25.ias	1	Cohort	2	Left	Right	B2
26	26	15_B_Honey_Rhyme.jpg	15_A_Money_Rhyme.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	honey_Rhyme.wav	Exp	26.ias	1	Rhyme	2	Right	Left	B2
27	27	11_B_Zipper_Baseline.jpg	11_A_Bottle_Baseline.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	zipper_Baseline.wav	Exp	27.ias	1	Unrelated	2	Right	Left	B2
28	28	13_B_Children_Cohort.jpg	13_A_Chicken_Cohort.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	children_Cohort.wav	Exp	28.ias	1	Cohort	2	Right	Left	B2
29	29	9_B_Horse_Baseline.jpg	9_A_Feet_Baseline.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	horse_Baseline.wav	Exp	29.ias	1	Unrelated	1	Right	Left	B2
30	30	9_B_Toast_Cohort.jpg	9_A_Toes_Cohort.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	toast_Cohort.wav	Exp	30.ias	1	Cohort	1	Left	Right	B2
31	31	6_B_Bees_Rhyme.jpg	6_A_Keys_Rhyme.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	bees_Rhyme.wav	Exp	31.ias	1	Rhyme	1	Left	Right	B2
32	32	15_B_Soda_Baseline.jpg	15_A_Monkey_Baseline.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	soda_Baseline.wav	Exp	32.ias	1	Unrelated	2	Left	Right	B2
33	33	2_B_Belt_Cohort.jpg	2_A_Bed_Cohort.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	belt_Cohort.wav	Exp	33.ias	1	Cohort	1	Right	Left	B2
34	34	3_B_Fish_Rhyme.jpg	3_A_Dish_Rhyme.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	fish_Rhyme.wav	Exp	34.ias	1	Rhyme	1	Right	Left	B2
35	35	3_B_Nose_Baseline.jpg	3_A_Book_Baseline.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	nose_Baseline.wav	Exp	35.ias	1	Unrelated	1	Left	Right	B2
36	36	10_B_Butter_Cohort.jpg	10_A_Bubbles_Cohort.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	butter_Cohort.wav	Exp	36.ias	1	Cohort	2	Left	Right	B2
37	37	10_B_Police_Baseline.jpg	10_A_Basket_Baseline.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	police_Baseline.wav	Exp	37.ias	1	Unrelated	2	Left	Right	B2
38	38	9_A_Glue_Rhyme.jpg	9_B_Shoe_Rhyme.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	glue_Rhyme.wav	Exp	38.ias	1	Rhyme	1	Right	Left	B2
39	39	5_B_Soap_Baseline.jpg	5_A_Corn_Baseline.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	soap_Baseline.wav	Exp	39.ias	1	Unrelated	1	Left	Right	B2
40	40	13_B_Belly_Rhyme.jpg	13_A_Jelly_Rhyme.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	belly_Rhyme.wav	Exp	40.ias	1	Rhyme	2	Left	Right	B2
41	41	18_B_Potty_Cohort.jpg	18_A_Popcorn_Cohort.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	potty_Cohort.wav	Exp	41.ias	1	Cohort	2	Left	Right	B2
42	42	7_B_Milk_Baseline.jpg	7_A_Dog_Baseline.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	milk_Baseline.wav	Exp	42.ias	1	Unrelated	1	Right	Left	B2
43	43	11_B_Carrot_Rhyme.jpg	11_A_Parrot_Rhyme.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	carrot_Rhyme.wav	Exp	43.ias	1	Rhyme	2	Right	Left	B2
44	44	1_B_Bathtub_Cohort.jpg	1_A_Bat_Cohort.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	bath_Cohort.wav	Exp	44.ias	1	Cohort	1	Left	Right	B2
45	45	14_B_Kitten_Rhyme.jpg	14_A_Mitten_Rhyme.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	kitten_Rhyme.wav	Exp	45.ias	1	Rhyme	2	Left	Right	B2
46	46	16_B_Tractor_Baseline.jpg	16_A_Present_Baseline.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	tractor_Baseline.wav	Exp	46.ias	1	Unrelated	2	Right	Left	B2
47	47	14_B_Kitchen_Cohort.jpg	14_A_Kitty_Cohort.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	kitchen_Cohort.wav	Exp	47.ias	1	Cohort	2	Right	Left	B2
48	48	7_B_Men_Rhyme.jpg	7_A_Pen_Rhyme.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	men_Rhyme.wav	Exp	48.ias	1	Rhyme	1	Left	Right	B2
49	49	6_B_Cup_Baseline.jpg	6_A_Frog_Baseline.jpg	"(500, 524)"	"(1180, 524)"	"(500, 524)"	cup_Rhyme.wav	Exp	49.ias	1	Unrelated	1	Left	Right	B2
50	50	10_B_Poodles_Rhyme.jpg	10_A_Noodles_Rhyme.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	poodles_Rhyme.wav	Exp	50.ias	1	Rhyme	2	Right	Left	B2
51	51	4_B_Teeth_Baseline.jpg	4_A_Cheese_Baseline.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	teeth_Baseline.wav	Exp	51.ias	1	Unrelated	1	Right	Left	B2
52	52	5_B_Comb_Cohort.jpg	5_A_Coat_Cohort.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	comb_Cohort.wav	Exp	52.ias	1	Cohort	1	Right	Left	B2
53	53	13_B_Finger_Baseline.jpg	13_A_Donut_Baseline.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	finger_Baseline.wav	Exp	53.ias	1	Unrelated	2	Right	Left	B2
54	54	4_B_Hand_Rhyme.jpg	4_A_Sand_Rhyme.jpg	"(1180, 524)"	"(500, 524)"	"(1180, 524)"	hand_Rhyme.wav	Exp	54.ias	1	Rhyme	1	Right	Left	B2
